
Image Name                     PID Session Name        Session#    Mem Usage
WidgetService.exe            31924 Console                    7     26,284 K
NVIDIA Overlay.exe           31332 Console                    7     89,660 K
msedgewebview2.exe           13960 Console                    7     14,436 K
msedgewebview2.exe           29032 Console                    7      9,620 K
FaceBeautify.exe             30848 Console                    7     37,080 K
msedgewebview2.exe           25272 Console                    7      7,368 K
msedgewebview2.exe           27860 Console                    7      6,272 K
msedgewebview2.exe           14748 Console                    7      2,992 K
RuntimeBroker.exe            32468 Console                    7     14,404 K
msedgewebview2.exe           10668 Console                    7      5,628 K
ctfmon.exe                   18128 Console                    7     37,216 K
LockApp.exe                  15932 Console                    7   1,00,732 K
RuntimeBroker.exe            26944 Console                    7     48,488 K
svchost.exe                  23204 Console                    7     17,332 K
PhoneExperienceHost.exe      17164 Console                    7   1,85,200 K
SecurityHealthSystray.exe    30868 Console                    7     14,160 K
RtkAudUService64.exe         18324 Console                    7     20,084 K
msedge.exe                   31528 Console                    7   1,67,916 K
msedge.exe                   18096 Console                    7     11,712 K
msedge.exe                    3936 Console                    7     56,124 K
msedge.exe                   13668 Console                    7     46,052 K
msedge.exe                   20456 Console                    7     20,316 K
msedge.exe                   22068 Console                    7   1,32,612 K
nahimicNotifSys.exe          22936 Console                    7     58,992 K
msedge.exe                   32612 Console                    7     32,584 K
EpicGamesLauncher.exe        31880 Console                    7   1,97,320 K
EpicWebHelper.exe            14388 Console                    7     77,404 K
EpicWebHelper.exe            10476 Console                    7     50,060 K
EpicWebHelper.exe            24648 Console                    7     39,188 K
EpicWebHelper.exe            32928 Console                    7   3,86,004 K
Copilot.exe                  20012 Console                    7   2,23,836 K
ApplicationFrameHost.exe     11624 Console                    7     70,064 K
Nahimic3.exe                 17920 Console                    7   1,02,384 K
RuntimeBroker.exe             9224 Console                    7     27,684 K
RuntimeBroker.exe            31196 Console                    7     14,440 K
WhatsApp.Root.exe            16364 Console                    7   2,33,208 K
RuntimeBroker.exe            12232 Console                    7     13,944 K
msedgewebview2.exe           17880 Console                    7     59,612 K
msedgewebview2.exe           20428 Console                    7     12,552 K
msedgewebview2.exe           24020 Console                    7      8,332 K
msedgewebview2.exe           24104 Console                    7     19,960 K
msedgewebview2.exe           27520 Console                    7      4,052 K
msedgewebview2.exe           25568 Console                    7     29,348 K
svchost.exe                  30156 Console                    7     16,440 K
vmware-tray.exe              22424 Console                    7     15,848 K
chrome.exe                    1320 Console                    7   2,39,092 K
chrome.exe                    7024 Console                    7     12,168 K
chrome.exe                   17916 Console                    7   1,59,332 K
chrome.exe                   25348 Console                    7     61,840 K
chrome.exe                   20940 Console                    7     21,120 K
chrome.exe                   31780 Console                    7     96,644 K
chrome.exe                    6160 Console                    7     98,392 K
cmd.exe                      16904 Console                    7      4,664 K
cmd.exe                      18144 Console                    7      4,668 K
conhost.exe                  28068 Console                    7     11,768 K
conhost.exe                   6048 Console                    7     11,780 K
mc-extn-browserhost.exe      27156 Console                    7     19,932 K
browserhost.exe              18776 Console                    7     19,104 K
chrome.exe                   19772 Console                    7   4,11,244 K
Code.exe                      2456 Console                    7   1,43,676 K
Code.exe                     24732 Console                    7     34,808 K
Code.exe                      1960 Console                    7   1,31,704 K
Code.exe                     20768 Console                    7     51,152 K
Code.exe                      6928 Console                    7   2,87,324 K
Code.exe                     27416 Console                    7   1,30,844 K
Code.exe                      3516 Console                    7   4,58,820 K
Code.exe                     27100 Console                    7   1,16,208 K
Code.exe                      7948 Console                    7   1,13,600 K
conhost.exe                  32012 Console                    7     10,536 K
powershell.exe                6844 Console                    7   1,02,884 K
pet.exe                      10496 Console                    7      8,896 K
conhost.exe                  20928 Console                    7      7,324 K
conhost.exe                   9464 Console                    7     10,456 K
powershell.exe               32388 Console                    7   1,02,352 K
Code.exe                     17616 Console                    7   5,70,636 K
SystemSettings.exe           31940 Console                    7     31,840 K
svchost.exe                  11960 Console                    7     14,792 K
WaaSMedicAgent.exe           27824 Services                   0     22,040 K
conhost.exe                  10920 Services                   0      6,740 K
Lenovo.Modern.ImControlle    22932 Console                    7     42,012 K
LenovoVantage-(GenericMes     9704 Console                    7     11,988 K
SEGameTool.exe               29336 Console                    7     15,328 K
backgroundTaskHost.exe       32616 Console                    7     11,752 K
RuntimeBroker.exe             8088 Console                    7     11,956 K
mc-wps-secdashboardservic    29836 Services                   0     12,092 K
LenovoVantage-(LenovoServ    14996 Console                    7      7,916 K
OfficeClickToRun.exe         26180 Services                   0     79,500 K
AppVShNotify.exe             31684 Console                    7     12,172 K
SearchIndexer.exe            16332 Services                   0     46,200 K
Notepad.exe                  11848 Console                    7   1,66,072 K
cmd.exe                       2620 Console                    7     12,828 K
Notepad.exe                  18936 Console                    7     15,832 K
ShellExperienceHost.exe      12452 Console                    7     93,244 K
RuntimeBroker.exe             5652 Console                    7     23,136 K
python.exe                   32436 Console                    7      3,976 K
python.exe                   23328 Console                    7     43,280 K
svchost.exe                  25392 Services                   0     10,896 K
smartscreen.exe              29624 Console                    7     12,872 K
chrome.exe                   18820 Console                    7     19,712 K
chrome.exe                   28720 Console                    7     53,400 K
svchost.exe                  14556 Services                   0      9,972 K
chrome.exe                   26588 Console                    7     29,924 K
cmd.exe                      11452 Console                    7     12,688 K
Notepad.exe                  27552 Console                    7     16,048 K
backgroundTaskHost.exe       20672 Console                    7     49,500 K
MoUsoCoreWorker.exe          23528 Services                   0     46,380 K
svchost.exe                  18744 Services                   0     24,064 K
RuntimeBroker.exe            22604 Console                    7     10,616 K
sppsvc.exe                   19164 Services                   0     18,988 K
TrustedInstaller.exe         25328 Services                   0     10,048 K
TiWorker.exe                 19816 Services                   0     16,592 K
cmd.exe                      12580 Console                    7      4,820 K
tasklist.exe                 20592 Console                    7     12,344 K
